,child_id,bursts_count,burst_lengths,mean_burst_length,std_burst_length,mean_burst_amplitude,mean_burst_std
116,142RTP1,8,[ 1  3  9 10  9 12 11  9],8.0,3.640054944640259,418.5527596544715,91.51950099821795
117,142RTP2,7,[13  5  6  3  4 10  1],6.0,3.854496446637726,329.5142701014832,42.02990170590403
118,142RTP3,8,[10  3  2  4 17  1  7  1],5.625,5.194648688795037,240.68335253772287,79.58604478748695
119,142RTP4,9,[10  2 10 15  5 11  2 11  2],7.555555555555555,4.597369081239378,389.45740185422017,62.22220957745385
120,143RTP1,13,[16  3  4 16  4  3  5 17  4  1 10  5  5],7.153846153846154,5.390107089647648,473.53737014061215,73.12159699770362
121,143RTP2,5,[ 2  7  7  6 21],8.6,6.468384651518492,273.5199122512584,87.67610856328885
122,143RTP3,4,[22  6  6 11],11.25,6.53356717268599,312.3171622222223,54.570531504229095
123,143RTP4,3,[ 7  4 10],7.0,2.449489742783178,538.557956989247,97.57599205659959
124,144RTP1,4,[29 68 29 14],35.0,20.0124960961895,324.58276521739134,49.426373211125096
125,144RTP2,12,[ 4  7  7 17 18 11 23 12 15 12  2  8],11.333333333333334,5.892556509887896,458.7040947558271,92.81771088730295
126,144RTP3,7,[ 1  7  1 12  7 19  5],7.428571428571429,5.900536122303824,194.6716104746318,31.312229547109478
127,144RTP4,15,[ 2 12  2 14  6 13  3  5  5  7  9 10  5 10 13],7.733333333333333,3.991101212558871,195.22030305039783,31.91989867184838
128,145RTP1,10,[12 11  2 11  5 10 10  8  4  7],8.0,3.22490309931942,382.07930563725506,59.02012646291062
129,145RTP2,7,[ 7 11  1  7  1  5 14],6.571428571428571,4.467570220317683,217.69345024154597,31.49044270323341
130,145RTP3,11,[10  8  7  8  6  6  9 12  2  3  1],6.545454545454546,3.2575405213034396,291.76240728557514,33.80374950980286
131,145RTP4,5,[ 1  9  5 20  3],7.6,6.740919818541087,239.12922672064772,35.032476284512555
132,146RTP1,9,[ 5 14  4  1 11 15 20  8  3],9.0,6.036923425424944,340.5467662894376,52.83032870196793
133,146RTP2,7,[13  3  9 10 12 14  4],9.285714285714286,3.9897828696482693,487.062039403454,94.2950644043262
134,147RTP1,10,[ 3 22 15  8  1  5  4  5  8  4],7.5,6.053924347066125,713.0599148299319,75.78192513660983
135,147RTP2,13,[ 3  8  8  1  4  4 10  1  1  4 15  2 14],5.769230769230769,4.643504083934329,555.3060849645391,65.70314192742676
136,147RTP3,7,[3 7 3 1 7 1 3],3.5714285714285716,2.3211538298959886,568.7029072340426,41.966295075524286
137,147RTP4,12,[ 6  3 11  5  7  4  4  5  9 12  7  1],6.166666666666667,3.104656001699526,521.1496883339034,53.687924422657595
138,149RTP1,9,[ 2  8  8  9  7 22 13  5 10],9.333333333333334,5.333333333333333,329.3902826420893,52.04350239782243
139,149RTP2,17,[ 9 15 20  4 11  4  7  5  8  5  1  7  5 13  6 11  2],7.823529411764706,4.767972736272811,281.6380762750249,51.641459674599936
140,149RTP3,8,[ 5 11  3 10  1 29  1 11],8.875,8.57959060794861,320.67678102992966,47.54032190408192
141,149RTP4,10,[ 2  1 11  9  9  7 10 10 11 13],8.3,3.716180835212409,336.0164568596968,49.84469705921431
142,151RTP1,11,[10  7 10  9  1 10  5  5  1  9  9],6.909090909090909,3.2878438763682043,525.6833823940382,81.92955311107562
143,151RTP2,11,[ 3  8  8  5  8  3  3  8  4 24  6],7.2727272727272725,5.674358739755357,317.5892473214288,39.71301394565352
144,151RTP3,11,[ 6  4  7 11  2 13  8  5 11  2  2],6.454545454545454,3.7504820626793216,283.9137482845792,51.746479124295824
145,151RTP4,9,[10  7  2  6 10 11 11 21  9],9.666666666666666,4.853406592853679,347.6777937420179,47.02769381072712
146,153RTP1,2,[ 1 11],6.0,5.0,526.0268027777779,111.2902600143788
147,153RTP2,4,[10 10 12  5],9.25,2.5860201081971503,350.83068332483435,49.66313525136262
148,154RTP1,10,[17 21  2  8  3 16 21  5 17 14],12.4,6.902173570694959,270.2373771567893,36.72081876800666
149,154RTP2,15,[ 6  2  7 18  4  4  9  9 10  5  5 21  9  2 25],9.066666666666666,6.707872654989475,358.65487613582036,47.654056979935774
150,154RTP3,6,[ 2  2  3 16 11  9],7.166666666666667,5.273097339852125,296.86386813458677,87.87314117107911
151,154RTP4,9,[ 6  6  3  2 10  5  3 10 10],6.111111111111111,3.0347778408328137,185.77462715466368,27.98360457821368
152,158RTP1,8,[ 2  1 15 12  3  3  6  6],6.0,4.69041575982343,353.8244222846443,102.10394455917319
153,158RTP2,7,[11 12 14 16  9  2  8],10.285714285714286,4.233009254294015,327.09473138888893,51.29761903503618
154,159RTP1,11,[ 6  1 12  1  4  7 23  6 13  3  9],7.7272727272727275,6.136195283885893,559.0797053708442,108.59134120151622
155,159RTP2,14,[ 3  8  2  7 19 23  4 19  8 15  3 16  6  6],9.928571428571429,6.755572152086069,592.1006453304644,72.9617150679647
156,160RTP1,6,[ 5 13 10 10  4  8],8.333333333333334,3.091206165165235,542.7590849315069,33.51656665815781
157,160RTP2,10,[10  4  3  2  4  1  8  4  8 11],5.5,3.2939338184001206,240.27419920255198,45.44902456414599
158,160RTP3,5,[ 7 11  5 10 19],10.4,4.8,137.7967050248139,29.292366488062836
159,160RTP4,5,[11  3  2  8 12],7.2,4.069397989875161,162.38895959595962,28.142159906872877
160,161RTP1,9,[ 8  3  2  8 13 12  8 10  3],7.444444444444445,3.7745083892140068,413.1034684739568,88.30791371112458
161,161RTP2,6,[ 8  1  4 13 17  4],7.833333333333333,5.58022301426107,463.09030825734527,118.16058736893432
162,161RTP3,7,[ 7  7 13  9  1 11 12],8.571428571428571,3.7742413753208304,406.75062507936525,87.83154765586247
163,161RTP4,4,[11 11 27  9],14.5,7.262919523166975,417.87551340996185,78.69244390892585
164,162RTP1,11,[ 6 10 10  8  3 14  5  5 10  4  7],7.454545454545454,3.1439302665073785,553.2348222673892,61.853588065423814
165,162RTP2,8,[ 3 15 18  1 20 14  6 10],10.875,6.565772993334448,310.3844346360153,27.726818382833645
166,162RTP3,7,[22  1  8  9  8 11  7],9.428571428571429,5.876275371772323,300.25921873278236,55.08739341101578
167,162RTP4,6,[ 2 11  1 11 11  2],6.333333333333333,4.6785562825394,334.7385266812866,67.26344188978621
168,163RTP1,7,[ 5 14  7 11 11  6  3],8.142857142857142,3.642156795423418,250.50211003051112,45.646103791819016
169,163RTP2,8,[14  2  8  5  2  9 12 13],8.125,4.456385867493972,196.0128528015195,32.11357890720836
170,164RTP1,3,[13 20  5],12.666666666666666,6.128258770283412,460.54127688787185,92.44590742020306
171,164RTP2,9,[ 2  8 24  8  6 13  8 10  4],9.222222222222221,6.032831982443657,306.92143284904324,34.00162491736547
172,164RTP3,8,[ 3  9 17 19  7  6 12  3],9.5,5.656854249492381,278.10403360597434,47.621280468043715
173,164RTP4,8,[ 2 19  6  6 13  7 14 15],10.25,5.425633603552677,203.0850352303523,24.887823326511924
174,165RTP1,5,[ 7  5 12 12 10],9.2,2.7856776554368237,427.32425877926437,104.63357164294392
175,165RTP2,6,[10 10 16  1  5  8],8.333333333333334,4.642796092394707,224.11204958333335,25.61601094503312
176,165RTP3,7,[ 6  4 10 13 16  4  2],7.857142857142857,4.852939357560865,190.31892673796793,28.92099522828138
177,165RTP4,9,[14  7  5  1  5  4  9  7 11],7.0,3.681787005729087,222.0462610229276,26.099787530962114
178,166RTP1,6,[16  5  7  1  5 12],7.666666666666667,4.955356249106169,341.2650689799329,79.26469220713719
179,166RTP2,11,[ 7  2  2  4 12  6  1  2  8  7 12],5.7272727272727275,3.7438655058134547,569.2040915395289,63.66319423685053
180,166RTP3,5,[ 9 12  3  4 20],9.6,6.151422599691879,218.61499831081082,27.67160547278834
181,166RTP4,5,[ 8  1  3  2 17],6.2,5.912698199637793,332.6387061325773,110.4714963996356
182,167RTP1,4,[16 22  7 11],14.0,5.612486080160912,470.6363037555228,89.38545930316482
183,167RTP2,11,[ 5  3  8  1 20  2 17  7  8  5  8],7.636363636363637,5.661235446160097,480.8238948787063,55.54324703145473
184,168RTP1,11,[ 2 12 15  5 13 16  6 25  5  9  3],10.090909090909092,6.598271749681475,298.6189930555556,29.565486040909526
185,168RTP2,6,[ 6  7 11  2 14  2],7.0,4.396968652757639,303.7895537555229,87.53422974550897
186,169RTP1,9,[13  8 11 10  5 13  5  4  7],8.444444444444445,3.269764215458258,428.93904674922595,66.38680104587637
187,169RTP2,10,[ 2 12 15  1  4 14  7  2  9  5],7.1,4.908156476723211,356.5308823187057,89.32455384457994
188,170RTP1,13,[12 11 18  5 29  4  8 10  8 10  7 16 23],12.384615384615385,7.011402378526671,435.7144720496896,56.455921416298494
189,170RTP2,10,[ 5  1  1  6  2  6  8  5 16 16],6.6,5.180733538795447,303.859552059052,28.745752916203156
190,171RTP1,8,[ 6  9 19  8 12  5  7  1],8.375,4.998437255783052,327.9040676729986,58.977188121503424
191,171RTP2,10,[ 7 36 22  3  3  6  9  6  3  9],10.4,10.041912168506554,419.2105730098389,41.30498233070754
192,172RTP1,7,[ 1  8 18  5 13  2 11],8.285714285714286,5.699982098074286,430.9319848895779,89.94983932352729
193,172RTP2,7,[16  9 19  3  9 11  2],9.857142857142858,5.767608353767528,392.67106182351887,64.91915921924604
194,173RTP2,13,[ 1 13  5  3  3  3  6  9  8  2  9  4 13],6.076923076923077,3.8523027770919733,292.01738600320107,39.406624814781736
195,174RTP1,11,[13 13 21 11  5  3 10  8 19 15  5],11.181818181818182,5.507320447585804,580.0243599283452,82.58103975281173
196,174RTP2,13,[26  3  6 11 11  4  2  9  7 23  2  3  5],8.615384615384615,7.4165974111962765,442.6828050892858,88.78566888813768
197,175RTP1,11,[ 9 13 14 10  5 11 12  1  8  2  8],8.454545454545455,4.0757294129927075,514.7964074074075,75.74092262305578
198,175RTP2,11,[ 8  6  3  2 13  6  7  2  8 24 15],8.545454545454545,6.27206847660376,445.03404562193157,91.75931020199556
199,176RTP1,7,[10 10  4 17  7 17 13],11.142857142857142,4.5175395145262565,402.2439310506566,68.0856506176231
